DOI,BC,NO2,PM10,PM2.5,O3,NOx,VOC,CO,SO2,AQI,ozone,NOX,NH3,AOD,VOCs,AQIPM2.5,AQINO2,BLSO2,PM,NO₂,PM2:5,NO,benzene,BBOA,HOA,OOA,O
https://doi.org/10.1016/j.scitotenv.2020.141129,['-65.0'],"['-34.1', '-56.9', '-35.6', '-45.5', '-25.0']","['-20.1', '-16.2', '-6.6']","['-17.0', '-8.2']",,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.138540,['-45.0'],['-51.0'],"['-28.0', '-31.0']",,['50.0'],,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1029/2020GL089623,,,,,,['-60.0'],['-30.0'],,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s11869-020-00916-5,"['-47.0', '-50.0']",,,,"['-14.0', '-40.0']","['-67.0', '-65.0']",,['-14.0'],,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s00128-020-02907-9,,"['-9.1', '-10.0']",,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.atmosenv.2020.117794,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/su12177067,,['-40.0'],,"['-27.25', '-23.88']","['-8.08', '-7.93']",,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141592,,"['-38.0', '-33.0', '-0.6', '-48.0', '-5.0', '-47.0', '-55.0']","['21.0', '114.0']","['-31.0', '17.0']","['14.0', '17.0', '114.0', '4.0']",,,"['-49.0', '-51.0']",,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0227,,"['-35.0', '-33.0', '-20.0', '-23.0', '-15.0', '-40.0', '-38.0', '-19.0', '-30.0']",,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0224,,"['-16.0', '-31.0', '-22.0', '-20.0', '-24.0', '-32.0', '-1.0', '-5.0']","['-15.0', '-20.0', '-27.0', '-28.0', '-30.0', '-21.0', '-25.0', '-22.0', '-29.0', '3.0', '8.0']","['-14.0', '-20.0', '-29.0', '-24.0', '-21.0', '-31.0', '-22.0', '-30.0', '-33.0', '-23.0', '-5.0', '-4.0', '-0.0', '9.0', '6.0', '3.0']","['9.0', '30.0', '22.0', '23.0', '34.0', '5.0', '1.0', '3.0', '-8.0', '-3.0', '-2.0']",,,"['-12.0', '-4.0', '-3.0', '1.0', '3.0']","['-12.0', '-30.0', '-27.0', '-25.0', '-22.0', '-28.0', '2.0', '6.0', '1.0', '3.0', '32.0']","['-11.0', '-20.0', '-25.0', '-23.0', '-27.0', '1.0', '5.0', '4.0']",,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/rs12132100,,['-75.0'],,,,['-65.0'],,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140879,,"['-28.0', '-57.0', '-46.0']",,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1029/2020GL088070,,"['-40.0', '-53.0']",,['-29.0'],,,,,,,['-15.0'],,,,,,,,,,,,,,,,
https://doi.org/10.1088/1748-9326/aba3a2,,"['-25.9', '-30.5', '-27.0']","['-9.0', '-21.4']","['-17.2', '-2.0', '-10.5']",['2.8'],,,"['-16.5', '-7.8', '-12.1']",,,,,,,,,,,,,,,,,,,
