StudyStartDate;StudyEndDate;FirstAuthor;DOI;AdditionalDetails;City;Country;GeographicalRegion;methods;platform;StringencyIndex;NO2_prcnt_change;NO2_prcnt_change_er;NO2_ugm3_Reference_avg;NO2_ugm3_Reference_sd;NO2_ugm3_Lockdown_avg;NO2_ugm3_Lockdown_sd;NOX_prcnt_change;NOX_prcnt_change_er;NOX_ugm3_Reference_avg;NOX_ugm3_Reference_sd;NOX_ugm3_Lockdown_avg;NOX_ugm3_Lockdown_sd;CO_prcnt_change;CO_prcnt_change_er;CO_mgm3_Reference_avg;CO_mgm3_Reference_sd;CO_mgm3_Lockdown_avg;CO_mgm3_Lockdown_sd;PM25_prcnt_change;PM25_prcnt_change_er;PM25_ugm3_Reference_avg;PM25_ugm3_Reference_sd;PM25_ugm3_Lockdown_avg;PM25_ugm3_Lockdown_sd;PM10_prcnt_change;PM10_prcnt_change_er;PM10_ugm3_Reference_avg;PM10_ugm3_Reference_sd;PM10_ugm3_Lockdown_avg;PM10_ugm3_Lockdown_sd;O3_prcnt_change;O3_prcnt_change_er;O3_ugm3_Reference_avg;O3_ugm3_Reference_sd;O3_ugm3_Lockdown_avg;O3_ugm3_Lockdown_sd;SO2_prcnt_change;SO2_prcnt_change_er;SO2_ugm3_Reference_avg;SO2_ugm3_Reference_sd;SO2_ugm3_Lockdown_avg;SO2_ugm3_Lockdown_sd;NH3_prcnt_change;NH3_prcnt_change_er;NH3_ugm3_Reference_avg;NH3_ugm3_Reference_sd;NH3_ugm3_Lockdown_avg;NH3_ugm3_Lockdown_sd;NMVOCS_prcnt_change;NMVOCS_prcnt_change_er;NMVOCS_ugm3_Reference_avg;NMVOCS_ugm3_Reference_sd;NMVOCS_ugm3_Lockdown_avg;NMVOCS_ugm3_Lockdown_sd;AOD_prcnt_change;AOD_prcnt_change_er;AOD_Reference_avg;AOD_Reference_sd;AOD_Lockdown_avg;AOD_Lockdown_sd;BC_prcnt_change;BC_prcnt_change_er;BC_ugm3_Reference_avg;BC_ugm3_Reference_sd;BC_ugm3_Lockdown_avg;BC_ugm3_Lockdown_sd;AQI_prcnt_change;AQI_prcnt_change_er;AQI_Reference_avg;AQI_Reference_sd;AQI_Lockdown_avg;AQI_Lockdown_sd;BCFF_prcnt_change;BCFF_prcnt_change_er;BCFF_ugm3_Reference_avg;BCFF_ugm3_Reference_sd;BCFF_ugm3_Lockdown_avg;BCFF_ugm3_Lockdown_sd;BCWB_prcnt_change;BCWB_prcnt_change_er;BCWB_ugm3_Reference_avg;BCWB_ugm3_Reference_sd;BCWB_ugm3_Lockdown_avg;BCWB_ugm3_Lockdown_sd;NO3_prcnt_change;NO3_prcnt_change_er;NO3_ugm3_Reference_avg;NO3_ugm3_Reference_sd;NO3_ugm3_Lockdown_avg;NO3_ugm3_Lockdown_sd;SO4_prcnt_change;SO4_prcnt_change_er;SO4_ugm3_Reference_avg;SO4_ugm3_Reference_sd;SO4_ugm3_Lockdown_avg;SO4_ugm3_Lockdown_sd;OM_prcnt_change;OM_prcnt_change_er;OM_ugm3_Reference_avg;OM_ugm3_Reference_sd;OM_ugm3_Lockdown_avg;OM_ugm3_Lockdown_sd;PM1_prcnt_change;PM1_prcnt_change_er;PM1_ugm3_Reference_avg;PM1_ugm3_Reference_sd;PM1_ugm3_Lockdown_avg;PM1_ugm3_Lockdown_sd;BBOA_prcnt_change;BBOA_prcnt_change_er;BBOA_ugm3_Reference_avg;BBOA_ugm3_Reference_sd;BBOA_ugm3_Lockdown_avg;BBOA_ugm3_Lockdown_sd;HOA_prcnt_change;HOA_prcnt_change_er;HOA_ugm3_Reference_avg;HOA_ugm3_Reference_sd;HOA_ugm3_Lockdown_avg;HOA_ugm3_Lockdown_sd;OOA_prcnt_change;OOA_prcnt_change_er;OOA_ugm3_Reference_avg;OOA_ugm3_Reference_sd;OOA_ugm3_Lockdown_avg;OOA_ugm3_Lockdown_sd
2020-03-14;2020-04-14;Abdullah, Samsuri;10.1016/j.scitotenv.2020.139022;;Sarawak;Malaysia;Southeast Asia;Direct Comparison to a Reference Period;Ground-based;67.94;;;;;;;;;;;;;;;;;;;-14;;10.51;3.9;9.95;3.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-14;2020-04-14;Abdullah, Samsuri;10.1016/j.scitotenv.2020.139022;;Sabah;Malaysia;Southeast Asia;Direct Comparison to a Reference Period;Ground-based;67.94;;;;;;;;;;;;;;;;;;;-15.7;;17.96;11.08;12.34;3.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-14;2020-04-14;Abdullah, Samsuri;10.1016/j.scitotenv.2020.139022;East;other;Malaysia;Southeast Asia;Direct Comparison to a Reference Period;Ground-based;67.94;;;;;;;;;;;;;;;;;;;-8;;12.35;4.32;14.4;4.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-14;2020-04-14;Abdullah, Samsuri;10.1016/j.scitotenv.2020.139022;South;other;Malaysia;Southeast Asia;Direct Comparison to a Reference Period;Ground-based;67.94;;;;;;;;;;;;;;;;;;;-10.4;;10.84;2.17;12.8;2.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-14;2020-04-14;Abdullah, Samsuri;10.1016/j.scitotenv.2020.139022;West;other;Malaysia;Southeast Asia;Direct Comparison to a Reference Period;Ground-based;67.94;;;;;;;;;;;;;;;;;;;-16;;19.97;8.72;18.63;4.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-14;2020-04-14;Abdullah, Samsuri;10.1016/j.scitotenv.2020.139022;North;other;Malaysia;Southeast Asia;Direct Comparison to a Reference Period;Ground-based;67.94;;;;;;;;;;;;;;;;;;;-15;;17.94;3.81;16.46;3.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-23;2020-04-26;Adams, Matthew D.;10.1016/j.scitotenv.2020.140516;Ontario;other;Canada;North America;Accounting for Effects of Meteorology, Atmospheric Chemistry, and Long-term Trends;Ground-based;48.85;-36;;16.92;;9.4;;-40;;;;;;;;;;;;;;7;;5.6;5.6;;;;;;;-14;;60;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-03-31;Baldasano, J. M.;10.1016/j.scitotenv.2020.140353;;Barcelona;Spain;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;51.73;-50;;40.3;;22.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-01;2020-03-31;Baldasano, J. M.;10.1016/j.scitotenv.2020.140353;;Madrid;Spain;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;51.73;-62;;36.1;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Beijing;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-29;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
